РЕЖИМ 1
12.61	12.664	12.616
11.06	13.308	10.953
14.39	14.320	14.33
14.837	14.772	14.802
14.682	14.636	14.59
6.203	6.15	6.132
13.879	13.88	14.118
7.69	7.646	7.669
7.87	7.931	7.889
7.913	7.954	7.916			
6.14	6.278	5.906
13.534	13.557	13.656
13.223	13.183	13.343
0.867	0.864	0.879
0.74	0.74	0.74

РЕЖИМ 2
10.47	10.452	10.319
11.066	11.120	11.084
11.545	12.28	11.864
12.357	12.3	12.192
7.840	8.24	7.829
6.099	6.0	5.916
11.490	11.45	11.412
7.508	7.5	7.234
7.608	7.74	7.648
7.870	7.867	7.870
5.870	5.845	5.844
11.222	11.105	11.123
10.946	10.856	10.815
0.839	0.818	0.821
0.713	0.703	0.706

РЕЖИМ 3
7.934	7.864	7.742
8.47	8.658	8.393
7.63	8.893	8.820
7.756	9.2	7.694
7.47	9.4	9.034
5.64	5.57	5.614
8.563	8.47	8.43
6.913	6.926	6.927
7.117	7.125	7.102
7.262	8.204	7.244
5.620	5.497	5.46
8.34	8.262	8.222
8.145	8.093	8.008
0.777	0.768	0.761
0.678	0.681	0.68

